# id	name  (net.runelite.api.ItemID, runelite-api-1.12.35.jar)
237	UNICORN_HORN
239	WHITE_BERRIES
241	DRAGON_SCALE_DUST
243	BLUE_DRAGON_SCALE
245	WINE_OF_ZAMORAK
247	JANGERBERRIES
249	GUAM_LEAF
251	MARRENTILL
253	TARROMIN
255	HARRALANDER
257	RANARR_WEED
259	IRIT_LEAF
261	AVANTOE
263	KWUARM
265	CADANTINE
267	DWARF_WEED
269	TORSTOL
271	PRESSURE_GAUGE
272	FISH_FOOD
273	POISON
274	POISONED_FISH_FOOD
275	KEY
276	RUBBER_TUBE
277	OIL_CAN
278	CATTLEPROD
279	SHEEP_FEED
280	SHEEP_BONES_1
281	SHEEP_BONES_2
282	SHEEP_BONES_3
283	SHEEP_BONES_4
284	PLAGUE_JACKET
285	PLAGUE_TROUSERS
286	ORANGE_GOBLIN_MAIL
287	BLUE_GOBLIN_MAIL
288	GOBLIN_MAIL
290	RESEARCH_PACKAGE
291	RESEARCH_NOTES
292	BOOK_ON_BAXTORIAN
293	KEY_293
294	GLARIALS_PEBBLE
295	GLARIALS_AMULET
296	GLARIALS_URN
297	GLARIALS_URN_EMPTY
298	KEY_298
299	MITHRIL_SEEDS
300	RATS_TAIL
301	LOBSTER_POT
303	SMALL_FISHING_NET
305	BIG_FISHING_NET
307	FISHING_ROD
309	FLY_FISHING_ROD
311	HARPOON
313	FISHING_BAIT
314	FEATHER
315	SHRIMPS
317	RAW_SHRIMPS
319	ANCHOVIES
321	RAW_ANCHOVIES
323	BURNT_FISH
325	SARDINE
327	RAW_SARDINE
329	SALMON
331	RAW_SALMON
333	TROUT
335	RAW_TROUT
337	GIANT_CARP
338	RAW_GIANT_CARP
339	COD
341	RAW_COD
343	BURNT_FISH_343
345	RAW_HERRING
347	HERRING
349	RAW_PIKE
351	PIKE
353	RAW_MACKEREL
355	MACKEREL
357	BURNT_FISH_357
359	RAW_TUNA
361	TUNA
363	RAW_BASS
365	BASS
367	BURNT_FISH_367
369	BURNT_FISH_369
371	RAW_SWORDFISH
373	SWORDFISH
375	BURNT_SWORDFISH
377	RAW_LOBSTER
379	LOBSTER
381	BURNT_LOBSTER
383	RAW_SHARK
385	SHARK
387	BURNT_SHARK
389	RAW_MANTA_RAY
391	MANTA_RAY
393	BURNT_MANTA_RAY
395	RAW_SEA_TURTLE
397	SEA_TURTLE
399	BURNT_SEA_TURTLE
401	SEAWEED
403	EDIBLE_SEAWEED
405	CASKET
407	OYSTER
409	EMPTY_OYSTER
411	OYSTER_PEARL
413	OYSTER_PEARLS
415	ETHENEA
416	LIQUID_HONEY
417	SULPHURIC_BROLINE
418	PLAGUE_SAMPLE
419	TOUCH_PAPER
420	DISTILLATOR
421	LATHAS_AMULET
422	BIRD_FEED
423	KEY_423
424	PIGEON_CAGE
425	PIGEON_CAGE_425
426	PRIEST_GOWN
428	PRIEST_GOWN_428
430	MEDICAL_GOWN
431	KARAMJAN_RUM
432	CHEST_KEY
433	PIRATE_MESSAGE
434	CLAY
436	COPPER_ORE
438	TIN_ORE
440	IRON_ORE
442	SILVER_ORE
444	GOLD_ORE
446	PERFECT_GOLD_ORE
447	MITHRIL_ORE
449	ADAMANTITE_ORE
451	RUNITE_ORE
453	COAL
455	BARCRAWL_CARD
456	SCORPION_CAGE
457	SCORPION_CAGE_457
458	SCORPION_CAGE_458
459	SCORPION_CAGE_459
460	SCORPION_CAGE_460
461	SCORPION_CAGE_461
462	SCORPION_CAGE_462
463	SCORPION_CAGE_463
464	STRANGE_FRUIT
466	PICKAXE_HANDLE
468	BROKEN_PICKAXE
470	BROKEN_PICKAXE_470
472	BROKEN_PICKAXE_472
474	BROKEN_PICKAXE_474
476	BROKEN_PICKAXE_476
478	BROKEN_PICKAXE_478
480	BRONZE_PICK_HEAD
482	IRON_PICK_HEAD
484	STEEL_PICK_HEAD
486	MITHRIL_PICK_HEAD
488	ADAMANT_PICK_HEAD
490	RUNE_PICK_HEAD
492	AXE_HANDLE
494	BROKEN_AXE
496	BROKEN_AXE_496
498	BROKEN_AXE_498
500	BROKEN_AXE_500
502	BROKEN_AXE_502
504	BROKEN_AXE_504
506	BROKEN_AXE_506
508	BRONZE_AXE_HEAD
510	IRON_AXE_HEAD
512	STEEL_AXE_HEAD
514	BLACK_AXE_HEAD
516	MITHRIL_AXE_HEAD
518	ADAMANT_AXE_HEAD
520	RUNE_AXE_HEAD
522	ENCHANTED_BEEF
523	ENCHANTED_RAT
524	ENCHANTED_BEAR
525	ENCHANTED_CHICKEN
526	BONES
528	BURNT_BONES
530	BAT_BONES
532	BIG_BONES
534	BABYDRAGON_BONES
536	DRAGON_BONES
538	DRUIDS_ROBE
540	DRUIDS_ROBE_TOP
542	MONKS_ROBE
544	MONKS_ROBE_TOP
546	SHADE_ROBE_TOP
548	SHADE_ROBE
550	NEWCOMER_MAP
552	GHOSTSPEAK_AMULET
553	GHOSTS_SKULL
554	FIRE_RUNE
555	WATER_RUNE
556	AIR_RUNE
557	EARTH_RUNE
558	MIND_RUNE
559	BODY_RUNE
560	DEATH_RUNE
561	NATURE_RUNE
562	CHAOS_RUNE
563	LAW_RUNE
564	COSMIC_RUNE
565	BLOOD_RUNE
566	SOUL_RUNE
567	UNPOWERED_ORB
569	FIRE_ORB
571	WATER_ORB
573	AIR_ORB
575	EARTH_ORB
577	BLUE_WIZARD_ROBE
579	BLUE_WIZARD_HAT
581	BLACK_ROBE
583	BAILING_BUCKET
585	BAILING_BUCKET_585
587	ORB_OF_PROTECTION
588	ORBS_OF_PROTECTION
589	GNOME_AMULET
590	TINDERBOX
592	ASHES
594	LIT_TORCH
595	TORCH
596	UNLIT_TORCH
598	BRONZE_FIRE_ARROW
600	ASTRONOMY_BOOK
601	GOBLIN_KITCHEN_KEY
602	LENS_MOULD
603	OBSERVATORY_LENS
604	BONE_SHARD
605	BONE_KEY
606	STONEPLAQUE
607	TATTERED_SCROLL
608	CRUMPLED_SCROLL
609	RASHILIYIA_CORPSE
610	ZADIMUS_CORPSE
611	LOCATING_CRYSTAL
612	LOCATING_CRYSTAL_612
613	LOCATING_CRYSTAL_613
614	LOCATING_CRYSTAL_614
615	LOCATING_CRYSTAL_615
616	BEADS_OF_THE_DEAD
617	COINS
618	BONE_BEADS
619	PARAMAYA_TICKET
620	PARAMAYA_TICKET_620
621	SHIP_TICKET
623	SWORD_POMMEL
624	BERVIRIUS_NOTES
625	WAMPUM_BELT
626	PINK_BOOTS
628	GREEN_BOOTS
630	BLUE_BOOTS
632	CREAM_BOOTS
634	TURQUOISE_BOOTS
636	PINK_ROBE_TOP
638	GREEN_ROBE_TOP
640	BLUE_ROBE_TOP
642	CREAM_ROBE_TOP
644	TURQUOISE_ROBE_TOP
646	PINK_ROBE_BOTTOMS
648	GREEN_ROBE_BOTTOMS
650	BLUE_ROBE_BOTTOMS
652	CREAM_ROBE_BOTTOMS
654	TURQUOISE_ROBE_BOTTOMS
656	PINK_HAT
658	GREEN_HAT
660	BLUE_HAT
662	CREAM_HAT
664	TURQUOISE_HAT
666	PORTRAIT
667	BLURITE_SWORD
668	BLURITE_ORE
669	SPECIMEN_JAR
670	SPECIMEN_BRUSH
671	ANIMAL_SKULL
672	SPECIAL_CUP
673	TEDDY
674	CRACKED_SAMPLE
675	ROCK_PICK
676	TROWEL
677	PANNING_TRAY
678	PANNING_TRAY_678
679	PANNING_TRAY_679
680	NUGGETS
681	ANCIENT_TALISMAN
682	UNSTAMPED_LETTER
683	SEALED_LETTER
684	BELT_BUCKLE
685	OLD_BOOT
686	RUSTY_SWORD
687	BROKEN_ARROW
688	BUTTONS
689	BROKEN_STAFF
690	BROKEN_GLASS
691	LEVEL_1_CERTIFICATE
692	LEVEL_2_CERTIFICATE
693	LEVEL_3_CERTIFICATE
694	CERAMIC_REMAINS
695	OLD_TOOTH
696	INVITATION_LETTER
697	DAMAGED_ARMOUR
698	BROKEN_ARMOUR
699	STONE_TABLET
700	CHEMICAL_POWDER
701	AMMONIUM_NITRATE
702	UNIDENTIFIED_LIQUID
703	NITROGLYCERIN
704	GROUND_CHARCOAL
705	MIXED_CHEMICALS
706	MIXED_CHEMICALS_706
707	CHEMICAL_COMPOUND
708	ARCENIA_ROOT
709	CHEST_KEY_709
710	VASE
711	BOOK_ON_CHEMICALS
712	CUP_OF_TEA
713	CLUE_SCROLL
714	RADIMUS_NOTES
715	RADIMUS_NOTES_715
716	BULLROARER
717	SCRAWLED_NOTE
718	A_SCRIBBLED_NOTE
719	SCRUMPLED_NOTE
720	SKETCH
721	GOLD_BOWL
722	BLESSED_GOLD_BOWL
723	GOLDEN_BOWL
724	GOLDEN_BOWL_724
725	GOLDEN_BOWL_725
726	GOLDEN_BOWL_726
727	HOLLOW_REED
728	HOLLOW_REED_728
729	SHAMANS_TOME
730	BINDING_BOOK
731	ENCHANTED_VIAL
732	HOLY_WATER
733	SMASHED_GLASS
735	YOMMI_TREE_SEEDS
736	YOMMI_TREE_SEEDS_736
737	SNAKEWEED_MIXTURE
738	ARDRIGAL_MIXTURE
739	BRAVERY_POTION
740	BLUE_HAT_740
741	CHUNK_OF_CRYSTAL
742	HUNK_OF_CRYSTAL
743	LUMP_OF_CRYSTAL
744	HEART_CRYSTAL
745	HEART_CRYSTAL_745
746	DARK_DAGGER
747	GLOWING_DAGGER
748	HOLY_FORCE
749	YOMMI_TOTEM
750	GILDED_TOTEM
751	GNOMEBALL
753	CADAVA_BERRIES
755	MESSAGE
756	CADAVA_POTION
757	BOOK
758	PHOENIX_HQ_KEY
759	WEAPON_STORE_KEY
761	INTEL_REPORT
762	FALADOR_SHIELD
763	BROKEN_SHIELD
764	COAL_BAG
765	BROKEN_SHIELD_765
766	GEM_BAG
767	PHOENIX_CROSSBOW
769	CERTIFICATE
770	ARDOUGNE_CLOAK
771	DRAMEN_BRANCH
772	DRAMEN_STAFF
773	PERFECT_RING
774	PERFECT_NECKLACE
775	COOKING_GAUNTLETS
776	GOLDSMITH_GAUNTLETS
777	CHAOS_GAUNTLETS
778	STEEL_GAUNTLETS
779	CREST_PART
780	CREST_PART_780
781	CREST_PART_781
782	FAMILY_CREST
783	BARK_SAMPLE
784	TRANSLATION_BOOK
785	GLOUGHS_JOURNAL
786	HAZELMERES_SCROLL
787	LUMBER_ORDER
788	GLOUGHS_KEY
789	TWIGS
790	TWIGS_790
791	TWIGS_791
792	TWIGS_792
793	DACONIA_ROCK
794	INVASION_PLANS
795	WAR_SHIP
800	BRONZE_THROWNAXE
801	IRON_THROWNAXE
802	STEEL_THROWNAXE
803	MITHRIL_THROWNAXE
804	ADAMANT_THROWNAXE
805	RUNE_THROWNAXE
806	BRONZE_DART
807	IRON_DART
808	STEEL_DART
809	MITHRIL_DART
810	ADAMANT_DART
811	RUNE_DART
812	BRONZE_DARTP
813	IRON_DART_P
814	STEEL_DARTP
815	MITHRIL_DARTP
816	ADAMANT_DARTP
817	RUNE_DARTP
818	POISONED_DARTP
819	BRONZE_DART_TIP
820	IRON_DART_TIP
821	STEEL_DART_TIP
822	MITHRIL_DART_TIP
823	ADAMANT_DART_TIP
824	RUNE_DART_TIP
825	BRONZE_JAVELIN
826	IRON_JAVELIN
827	STEEL_JAVELIN
828	MITHRIL_JAVELIN
829	ADAMANT_JAVELIN
830	RUNE_JAVELIN
831	BRONZE_JAVELINP
832	IRON_JAVELINP
833	STEEL_JAVELINP
834	MITHRIL_JAVELINP
835	ADAMANT_JAVELINP
836	RUNE_JAVELINP
837	CROSSBOW
839	LONGBOW
841	SHORTBOW
843	OAK_SHORTBOW
845	OAK_LONGBOW
847	WILLOW_LONGBOW
849	WILLOW_SHORTBOW
851	MAPLE_LONGBOW
853	MAPLE_SHORTBOW
855	YEW_LONGBOW
857	YEW_SHORTBOW
859	MAGIC_LONGBOW
861	MAGIC_SHORTBOW
863	IRON_KNIFE
864	BRONZE_KNIFE
865	STEEL_KNIFE
866	MITHRIL_KNIFE
867	ADAMANT_KNIFE
868	RUNE_KNIFE
869	BLACK_KNIFE
870	BRONZE_KNIFEP
871	IRON_KNIFEP
872	STEEL_KNIFEP
873	MITHRIL_KNIFEP
874	BLACK_KNIFEP
875	ADAMANT_KNIFEP
876	RUNE_KNIFEP
877	BRONZE_BOLTS
878	BRONZE_BOLTS_P
879	OPAL_BOLTS
880	PEARL_BOLTS
881	BARBED_BOLTS
882	BRONZE_ARROW
883	BRONZE_ARROWP
884	IRON_ARROW
885	IRON_ARROWP
886	STEEL_ARROW
887	STEEL_ARROWP
888	MITHRIL_ARROW
889	MITHRIL_ARROWP
890	ADAMANT_ARROW
891	ADAMANT_ARROWP
892	RUNE_ARROW
893	RUNE_ARROWP
942	BRONZE_FIRE_ARROW_LIT
943	WORM
945	THROWING_ROPE
946	KNIFE
948	BEAR_FUR
950	SILK
952	SPADE
954	ROPE
956	FLYER
958	GREY_WOLF_FUR
960	PLANK
962	CHRISTMAS_CRACKER
964	SKULL
965	SKULL_965
966	TILE
968	ROCK
970	PAPYRUS
972	PAPYRUS_972
973	CHARCOAL
975	MACHETE
977	COOKING_POT
981	DISK_OF_RETURNING
983	BRASS_KEY
985	TOOTH_HALF_OF_KEY
987	LOOP_HALF_OF_KEY
989	CRYSTAL_KEY
991	MUDDY_KEY
993	SINISTER_KEY
995	COINS_995
1005	WHITE_APRON
1007	RED_CAPE
1009	BRASS_NECKLACE
1011	BLUE_SKIRT
1013	PINK_SKIRT
1015	BLACK_SKIRT
1017	WIZARD_HAT
1019	BLACK_CAPE
1021	BLUE_CAPE
1023	YELLOW_CAPE
1025	RIGHT_EYE_PATCH
1027	GREEN_CAPE
1029	PURPLE_CAPE
1031	ORANGE_CAPE
1033	ZAMORAK_MONK_BOTTOM
1035	ZAMORAK_MONK_TOP
1037	BUNNY_EARS
1038	RED_PARTYHAT
1040	YELLOW_PARTYHAT
1042	BLUE_PARTYHAT
1044	GREEN_PARTYHAT
1046	PURPLE_PARTYHAT
1048	WHITE_PARTYHAT
1050	SANTA_HAT
1052	CAPE_OF_LEGENDS
1053	GREEN_HALLOWEEN_MASK
1055	BLUE_HALLOWEEN_MASK
1057	RED_HALLOWEEN_MASK
1059	LEATHER_GLOVES
1061	LEATHER_BOOTS
1063	LEATHER_VAMBRACES
1065	GREEN_DHIDE_VAMBRACES
1067	IRON_PLATELEGS
1069	STEEL_PLATELEGS
1071	MITHRIL_PLATELEGS
1073	ADAMANT_PLATELEGS
1075	BRONZE_PLATELEGS
1077	BLACK_PLATELEGS
1079	RUNE_PLATELEGS
1081	IRON_PLATESKIRT
1083	STEEL_PLATESKIRT
1085	MITHRIL_PLATESKIRT
1087	BRONZE_PLATESKIRT
1089	BLACK_PLATESKIRT
1091	ADAMANT_PLATESKIRT
1093	RUNE_PLATESKIRT
1095	LEATHER_CHAPS
1097	STUDDED_CHAPS
1099	GREEN_DHIDE_CHAPS
1101	IRON_CHAINBODY
1103	BRONZE_CHAINBODY
1105	STEEL_CHAINBODY
1107	BLACK_CHAINBODY
1109	MITHRIL_CHAINBODY
1111	ADAMANT_CHAINBODY
1113	RUNE_CHAINBODY
1115	IRON_PLATEBODY
1117	BRONZE_PLATEBODY
1119	STEEL_PLATEBODY
1121	MITHRIL_PLATEBODY
1123	ADAMANT_PLATEBODY
1125	BLACK_PLATEBODY
1127	RUNE_PLATEBODY
1129	LEATHER_BODY
1131	HARDLEATHER_BODY
1133	STUDDED_BODY
1135	GREEN_DHIDE_BODY
1137	IRON_MED_HELM
1139	BRONZE_MED_HELM
1141	STEEL_MED_HELM
1143	MITHRIL_MED_HELM
1145	ADAMANT_MED_HELM
1147	RUNE_MED_HELM
1149	DRAGON_MED_HELM
1151	BLACK_MED_HELM
1153	IRON_FULL_HELM
1155	BRONZE_FULL_HELM
1157	STEEL_FULL_HELM
1159	MITHRIL_FULL_HELM
1161	ADAMANT_FULL_HELM
1163	RUNE_FULL_HELM
1165	BLACK_FULL_HELM
1167	LEATHER_COWL
1169	COIF
1171	WOODEN_SHIELD
1173	BRONZE_SQ_SHIELD
1175	IRON_SQ_SHIELD
1177	STEEL_SQ_SHIELD
1179	BLACK_SQ_SHIELD
1181	MITHRIL_SQ_SHIELD
1183	ADAMANT_SQ_SHIELD
1185	RUNE_SQ_SHIELD
1187	DRAGON_SQ_SHIELD
1189	BRONZE_KITESHIELD
1191	IRON_KITESHIELD
1193	STEEL_KITESHIELD
1195	BLACK_KITESHIELD
1197	MITHRIL_KITESHIELD
1199	ADAMANT_KITESHIELD
1201	RUNE_KITESHIELD
1203	IRON_DAGGER
1205	BRONZE_DAGGER
1207	STEEL_DAGGER
1209	MITHRIL_DAGGER
1211	ADAMANT_DAGGER
1213	RUNE_DAGGER
1215	DRAGON_DAGGER
1217	BLACK_DAGGER
1219	IRON_DAGGERP
1221	BRONZE_DAGGERP
1223	STEEL_DAGGERP
1225	MITHRIL_DAGGERP
1227	ADAMANT_DAGGERP
1229	RUNE_DAGGERP
1231	DRAGON_DAGGERP
1233	BLACK_DAGGERP
1235	POISONED_DAGGERP
1237	BRONZE_SPEAR
1239	IRON_SPEAR
1241	STEEL_SPEAR
1243	MITHRIL_SPEAR
1245	ADAMANT_SPEAR
1247	RUNE_SPEAR
1249	DRAGON_SPEAR
1251	BRONZE_SPEARP
1253	IRON_SPEARP
1255	STEEL_SPEARP
1257	MITHRIL_SPEARP
1259	ADAMANT_SPEARP
1261	RUNE_SPEARP
1263	DRAGON_SPEARP
1265	BRONZE_PICKAXE
1267	IRON_PICKAXE
1269	STEEL_PICKAXE
1271	ADAMANT_PICKAXE
1273	MITHRIL_PICKAXE
1275	RUNE_PICKAXE
1277	BRONZE_SWORD
1279	IRON_SWORD
1281	STEEL_SWORD
1283	BLACK_SWORD
1285	MITHRIL_SWORD
1287	ADAMANT_SWORD
1289	RUNE_SWORD
1291	BRONZE_LONGSWORD
1293	IRON_LONGSWORD
1295	STEEL_LONGSWORD
1297	BLACK_LONGSWORD
1299	MITHRIL_LONGSWORD
1301	ADAMANT_LONGSWORD
1303	RUNE_LONGSWORD
1305	DRAGON_LONGSWORD
1307	BRONZE_2H_SWORD
1309	IRON_2H_SWORD
1311	STEEL_2H_SWORD
1313	BLACK_2H_SWORD
1315	MITHRIL_2H_SWORD
1317	ADAMANT_2H_SWORD
1319	RUNE_2H_SWORD
1321	BRONZE_SCIMITAR
1323	IRON_SCIMITAR
1325	STEEL_SCIMITAR
1327	BLACK_SCIMITAR
1329	MITHRIL_SCIMITAR
1331	ADAMANT_SCIMITAR
1333	RUNE_SCIMITAR
1335	IRON_WARHAMMER
1337	BRONZE_WARHAMMER
1339	STEEL_WARHAMMER
1341	BLACK_WARHAMMER
1343	MITHRIL_WARHAMMER
1345	ADAMANT_WARHAMMER
1347	RUNE_WARHAMMER
1349	IRON_AXE
1351	BRONZE_AXE
1353	STEEL_AXE
1355	MITHRIL_AXE
1357	ADAMANT_AXE
1359	RUNE_AXE
1361	BLACK_AXE
1363	IRON_BATTLEAXE
1365	STEEL_BATTLEAXE
1367	BLACK_BATTLEAXE
1369	MITHRIL_BATTLEAXE
1371	ADAMANT_BATTLEAXE
1373	RUNE_BATTLEAXE
1375	BRONZE_BATTLEAXE
1377	DRAGON_BATTLEAXE
1379	STAFF
1381	STAFF_OF_AIR
1383	STAFF_OF_WATER
1385	STAFF_OF_EARTH
1387	STAFF_OF_FIRE
1389	MAGIC_STAFF
1391	BATTLESTAFF
1393	FIRE_BATTLESTAFF
1395	WATER_BATTLESTAFF
1397	AIR_BATTLESTAFF
1399	EARTH_BATTLESTAFF
1401	MYSTIC_FIRE_STAFF
1403	MYSTIC_WATER_STAFF
1405	MYSTIC_AIR_STAFF
1407	MYSTIC_EARTH_STAFF
1409	IBANS_STAFF
1410	IBANS_STAFF_1410
1411	FARMERS_FORK
1413	HALBERD
1415	WARHAMMER
1417	JAVELIN
1419	SCYTHE
1420	IRON_MACE
1422	BRONZE_MACE
1424	STEEL_MACE
1426	BLACK_MACE
1428	MITHRIL_MACE
1430	ADAMANT_MACE
1432	RUNE_MACE
1434	DRAGON_MACE
1436	RUNE_ESSENCE
1438	AIR_TALISMAN
1440	EARTH_TALISMAN
1442	FIRE_TALISMAN
1444	WATER_TALISMAN
1446	BODY_TALISMAN
1448	MIND_TALISMAN
1450	BLOOD_TALISMAN
1452	CHAOS_TALISMAN
1454	COSMIC_TALISMAN
1456	DEATH_TALISMAN
1458	LAW_TALISMAN
1459	AUTOWEED
1460	SOUL_TALISMAN
1462	NATURE_TALISMAN
1464	ARCHERY_TICKET
1465	WEAPON_POISON_1465
1466	SEA_SLUG
1467	DAMP_STICKS
1468	DRY_STICKS
1469	BROKEN_GLASS_1469
1470	RED_BEAD
1472	YELLOW_BEAD
1474	BLACK_BEAD
1476	WHITE_BEAD
1478	AMULET_OF_ACCURACY
1480	ROCK_1480
1481	ORB_OF_LIGHT
1482	ORB_OF_LIGHT_1482
1483	ORB_OF_LIGHT_1483
1484	ORB_OF_LIGHT_1484
1485	OILY_CLOTH
1486	PIECE_OF_RAILING
1487	UNICORN_HORN_1487
1488	PALADINS_BADGE
1489	PALADINS_BADGE_1489
1490	PALADINS_BADGE_1490
1491	WITCHS_CAT
1492	DOLL_OF_IBAN
1493	OLD_JOURNAL
1494	HISTORY_OF_IBAN
1495	KLANKS_GAUNTLETS
1496	IBANS_DOVE
1497	AMULET_OF_OTHANIAN
1498	AMULET_OF_DOOMION
1499	AMULET_OF_HOLTHION
1500	IBANS_SHADOW
1501	DWARF_BREW
1502	IBANS_ASHES
1503	WARRANT
1504	HANGOVER_CURE
1505	ARDOUGNE_TELEPORT_SCROLL
1506	GAS_MASK
1507	A_SMALL_KEY
1508	A_SCRUFFY_NOTE
1509	BOOK_1509
1510	PICTURE
1511	LOGS
1513	MAGIC_LOGS
1515	YEW_LOGS
1517	MAPLE_LOGS
1519	WILLOW_LOGS
1521	OAK_LOGS
1523	LOCKPICK
1525	GRIMY_SNAKE_WEED
1526	SNAKE_WEED
1527	GRIMY_ARDRIGAL
1528	ARDRIGAL
1529	GRIMY_SITO_FOIL
1530	SITO_FOIL
1531	GRIMY_VOLENCIA_MOSS
1532	VOLENCIA_MOSS
1533	GRIMY_ROGUES_PURSE
1534	ROGUES_PURSE
1535	MAP_PART
1536	MAP_PART_1536
1537	MAP_PART_1537
1538	CRANDOR_MAP
1539	STEEL_NAILS
1540	ANTIDRAGON_SHIELD
1542	MAZE_KEY
1543	KEY_1543
1544	KEY_1544
1545	KEY_1545
1546	KEY_1546
1547	KEY_1547
1548	KEY_1548
1549	STAKE
1550	GARLIC
1552	SEASONED_SARDINE
1554	FLUFFS_KITTEN
1555	PET_KITTEN
1556	PET_KITTEN_1556
1557	PET_KITTEN_1557
1558	PET_KITTEN_1558
1559	PET_KITTEN_1559
1560	PET_KITTEN_1560
1561	PET_CAT
1562	PET_CAT_1562
1563	PET_CAT_1563
1564	PET_CAT_1564
1565	PET_CAT_1565
1566	PET_CAT_1566
1567	PET_CAT_1567
1568	PET_CAT_1568
1569	PET_CAT_1569
1570	PET_CAT_1570
1571	PET_CAT_1571
1572	PET_CAT_1572
1573	DOOGLE_LEAVES
1575	CAT_TRAINING_MEDAL
1577	PETES_CANDLESTICK
1579	THIEVES_ARMBAND
1580	ICE_GLOVES
1581	BLAMISH_SNAIL_SLIME
1582	BLAMISH_OIL
1583	FIRE_FEATHER
1584	ID_PAPERS
1585	OILY_FISHING_ROD
1586	MISCELLANEOUS_KEY
1588	GRIPS_KEYRING
1590	DUSTY_KEY
1591	JAIL_KEY
1592	RING_MOULD
1594	UNHOLY_MOULD
1595	AMULET_MOULD
1597	NECKLACE_MOULD
1599	HOLY_MOULD
1601	DIAMOND
1603	RUBY
1605	EMERALD
1607	SAPPHIRE
