# id	name	slot  (from equipment-models.json, cache revision 2026-08-04)
812	Bronze dart(p)	weapon
813	Iron dart (p)	weapon
814	Steel dart(p)	weapon
815	Mithril dart(p)	weapon
816	Adamant dart(p)	weapon
817	Rune dart(p)	weapon
818	Poisoned dart(p)	weapon
837	Crossbow	weapon
839	Longbow	weapon
841	Shortbow	weapon
843	Oak shortbow	weapon
845	Oak longbow	weapon
847	Willow longbow	weapon
849	Willow shortbow	weapon
851	Maple longbow	weapon
853	Maple shortbow	weapon
855	Yew longbow	weapon
857	Yew shortbow	weapon
859	Magic longbow	weapon
861	Magic shortbow	weapon
863	Iron knife	weapon
864	Bronze knife	weapon
865	Steel knife	weapon
866	Mithril knife	weapon
867	Adamant knife	weapon
868	Rune knife	weapon
869	Black knife	weapon
870	Bronze knife(p)	weapon
871	Iron knife(p)	weapon
872	Steel knife(p)	weapon
873	Mithril knife(p)	weapon
874	Black knife(p)	weapon
875	Adamant knife(p)	weapon
876	Rune knife(p)	weapon
945	Throwing rope	weapon
946	Knife	?
952	Spade	?
954	Rope	?
970	Papyrus	?
972	Papyrus	?
973	Charcoal	?
975	Machete	weapon
1005	White apron	torso
1007	Red cape	cape
1009	Brass necklace	amulet
1011	Blue skirt	legs
1013	Pink skirt	legs
1015	Black skirt	legs
1017	Wizard hat	head
1019	Black cape	cape
1021	Blue cape	cape
1023	Yellow cape	cape
1025	Right eye patch	head
1027	Green cape	cape
1029	Purple cape	cape
1031	Orange cape	cape
1033	Zamorak monk bottom	legs
1035	Zamorak monk top	torso
1037	Bunny ears	head
1038	Red partyhat	head
1040	Yellow partyhat	head
1042	Blue partyhat	head
1044	Green partyhat	head
1046	Purple partyhat	head
1048	White partyhat	head
1050	Santa hat	head
1052	Cape of legends	cape
1053	Green halloween mask	head
1055	Blue halloween mask	head
1057	Red halloween mask	head
1059	Leather gloves	hands
1061	Leather boots	boots
1063	Leather vambraces	hands
1065	Green d'hide vambraces	hands
1067	Iron platelegs	legs
1069	Steel platelegs	legs
1071	Mithril platelegs	legs
1073	Adamant platelegs	legs
1075	Bronze platelegs	legs
1077	Black platelegs	legs
1079	Rune platelegs	legs
1081	Iron plateskirt	legs
1083	Steel plateskirt	legs
1085	Mithril plateskirt	legs
1087	Bronze plateskirt	legs
1089	Black plateskirt	legs
1091	Adamant plateskirt	legs
1093	Rune plateskirt	legs
1095	Leather chaps	legs
1097	Studded chaps	legs
1099	Green d'hide chaps	legs
1101	Iron chainbody	torso
1103	Bronze chainbody	torso
1105	Steel chainbody	torso
1107	Black chainbody	torso
1109	Mithril chainbody	torso
1111	Adamant chainbody	torso
1113	Rune chainbody	torso
1115	Iron platebody	torso
1117	Bronze platebody	torso
1119	Steel platebody	torso
1121	Mithril platebody	torso
1123	Adamant platebody	torso
1125	Black platebody	torso
1127	Rune platebody	torso
1129	Leather body	torso
1131	Hardleather body	torso
1133	Studded body	torso
1135	Green d'hide body	torso
1137	Iron med helm	head
1139	Bronze med helm	head
1141	Steel med helm	head
1143	Mithril med helm	head
1145	Adamant med helm	head
1147	Rune med helm	head
1149	Dragon med helm	head
1151	Black med helm	head
1153	Iron full helm	head
1155	Bronze full helm	head
1157	Steel full helm	head
1159	Mithril full helm	head
1161	Adamant full helm	head
1163	Rune full helm	head
1165	Black full helm	head
1167	Leather cowl	head
1169	Coif	head
1171	Wooden shield	shield
1173	Bronze sq shield	shield
1175	Iron sq shield	shield
1177	Steel sq shield	shield
1179	Black sq shield	shield
1181	Mithril sq shield	shield
1183	Adamant sq shield	shield
1185	Rune sq shield	shield
1187	Dragon sq shield	shield
1189	Bronze kiteshield	shield
1191	Iron kiteshield	shield
1193	Steel kiteshield	shield
1195	Black kiteshield	shield
1197	Mithril kiteshield	shield
1199	Adamant kiteshield	shield
1201	Rune kiteshield	shield
1203	Iron dagger	weapon
1205	Bronze dagger	weapon
1207	Steel dagger	weapon
1209	Mithril dagger	weapon
1211	Adamant dagger	weapon
1213	Rune dagger	weapon
1215	Dragon dagger	weapon
1217	Black dagger	weapon
1219	Iron dagger(p)	weapon
1221	Bronze dagger(p)	weapon
1223	Steel dagger(p)	weapon
1225	Mithril dagger(p)	weapon
1227	Adamant dagger(p)	weapon
1229	Rune dagger(p)	weapon
1231	Dragon dagger(p)	weapon
1233	Black dagger(p)	weapon
1235	Poisoned dagger(p)	weapon
1237	Bronze spear	weapon
1239	Iron spear	weapon
1241	Steel spear	weapon
1243	Mithril spear	weapon
1245	Adamant spear	weapon
1247	Rune spear	weapon
1249	Dragon spear	weapon
1251	Bronze spear(p)	weapon
1253	Iron spear(p)	weapon
1255	Steel spear(p)	weapon
1257	Mithril spear(p)	weapon
1259	Adamant spear(p)	weapon
1261	Rune spear(p)	weapon
1263	Dragon spear(p)	weapon
1265	Bronze pickaxe	weapon
1267	Iron pickaxe	weapon
1269	Steel pickaxe	weapon
1271	Adamant pickaxe	weapon
1273	Mithril pickaxe	weapon
1275	Rune pickaxe	weapon
1277	Bronze sword	weapon
1279	Iron sword	weapon
1281	Steel sword	weapon
1283	Black sword	weapon
1285	Mithril sword	weapon
1287	Adamant sword	weapon
1289	Rune sword	weapon
1291	Bronze longsword	weapon
1293	Iron longsword	weapon
1295	Steel longsword	weapon
1297	Black longsword	weapon
1299	Mithril longsword	weapon
1301	Adamant longsword	weapon
1303	Rune longsword	weapon
1305	Dragon longsword	weapon
1307	Bronze 2h sword	weapon
1309	Iron 2h sword	weapon
1311	Steel 2h sword	weapon
1313	Black 2h sword	weapon
1315	Mithril 2h sword	weapon
1317	Adamant 2h sword	weapon
1319	Rune 2h sword	weapon
1321	Bronze scimitar	weapon
1323	Iron scimitar	weapon
1325	Steel scimitar	weapon
1327	Black scimitar	weapon
1329	Mithril scimitar	weapon
1331	Adamant scimitar	weapon
1333	Rune scimitar	weapon
1335	Iron warhammer	weapon
1337	Bronze warhammer	weapon
1339	Steel warhammer	weapon
1341	Black warhammer	weapon
1343	Mithril warhammer	weapon
1345	Adamant warhammer	weapon
1347	Rune warhammer	weapon
1349	Iron axe	weapon
1351	Bronze axe	weapon
1353	Steel axe	weapon
1355	Mithril axe	weapon
1357	Adamant axe	weapon
1359	Rune axe	weapon
1361	Black axe	weapon
1363	Iron battleaxe	weapon
1365	Steel battleaxe	weapon
1367	Black battleaxe	weapon
1369	Mithril battleaxe	weapon
1371	Adamant battleaxe	weapon
1373	Rune battleaxe	weapon
1375	Bronze battleaxe	weapon
1377	Dragon battleaxe	weapon
1379	Staff	weapon
1381	Staff of air	weapon
1383	Staff of water	weapon
1385	Staff of earth	weapon
1387	Staff of fire	weapon
1389	Magic staff	weapon
1391	Battlestaff	weapon
1393	Fire battlestaff	weapon
1395	Water battlestaff	weapon
1397	Air battlestaff	weapon
1399	Earth battlestaff	weapon
1401	Mystic fire staff	weapon
1403	Mystic water staff	weapon
1405	Mystic air staff	weapon
1407	Mystic earth staff	weapon
1409	Iban's staff	weapon
1419	Scythe	weapon
1420	Iron mace	weapon
1422	Bronze mace	weapon
1424	Steel mace	weapon
1426	Black mace	weapon
1428	Mithril mace	weapon
1430	Adamant mace	weapon
1432	Rune mace	weapon
1434	Dragon mace	weapon
1478	Amulet of accuracy	amulet
1495	Klank's gauntlets	hands
1506	Gas mask	head
1511	Logs	?
1540	Anti-dragon shield	shield
1575	Cat training medal	amulet
1580	Ice gloves	hands
1601	Diamond	?
1603	Ruby	?
1605	Emerald	?
1607	Sapphire	?
1609	Opal	?
1611	Jade	?
1613	Red topaz	?
1615	Dragonstone	?
1654	Gold necklace	amulet
1656	Sapphire necklace	amulet
1658	Emerald necklace	amulet
1660	Ruby necklace	amulet
1662	Diamond necklace	amulet
1664	Dragon necklace	amulet
1692	Gold amulet	amulet
1694	Sapphire amulet	amulet
1696	Emerald amulet	amulet
1698	Ruby amulet	amulet
1700	Diamond amulet	amulet
1702	Dragonstone amulet	amulet
1704	Amulet of glory	amulet
1706	Amulet of glory(1)	amulet
1708	Amulet of glory(2)	amulet
1710	Amulet of glory(3)	amulet
1712	Amulet of glory(4)	amulet
1716	Unblessed symbol	amulet
1718	Holy symbol	amulet
1722	Unpowered symbol	amulet
1724	Unholy symbol	amulet
1725	Amulet of strength	amulet
1727	Amulet of magic	amulet
1729	Amulet of defence	amulet
1731	Amulet of power	amulet
1733	Needle	?
1735	Shears	?
1741	Leather	?
1757	Brown apron	torso
1761	Soft clay	?
1785	Glassblowing pipe	?
1796	Silver necklace	amulet
1797	Silver necklace	amulet
1833	Desert shirt	torso
1835	Desert robe	legs
1837	Desert boots	boots
1844	Slave shirt	torso
1845	Slave robe	legs
1846	Slave boots	boots
1917	Beer	weapon
1919	Beer glass	?
1925	Bucket	?
1931	Pot	?
1949	Chef's hat	head
1963	Banana	weapon
1973	Chocolate bar	shield
2347	Hammer	?
2395	Magic ogre potion	weapon
2402	Silverlight	weapon
2405	Carnillean armour	torso
2406	Hazeel's mark	amulet
2412	Saradomin cape	cape
2413	Guthix cape	cape
2414	Zamorak cape	cape
2415	Saradomin staff	weapon
2416	Guthix staff	weapon
2417	Zamorak staff	weapon
2422	Blue partyhat	head
2460	Assorted flowers	weapon
2462	Red flowers	weapon
2464	Blue flowers	weapon
2466	Yellow flowers	weapon
2468	Purple flowers	weapon
2470	Orange flowers	weapon
2472	Mixed flowers	weapon
2474	White flowers	weapon
2476	Black flowers	weapon
2480	null	?
2487	Blue d'hide vambraces	hands
2489	Red d'hide vambraces	hands
2491	Black d'hide vambraces	hands
2493	Blue d'hide chaps	legs
2495	Red d'hide chaps	legs
2497	Black d'hide chaps	legs
2499	Blue d'hide body	torso
2501	Red d'hide body	torso
2503	Black d'hide body	torso
2520	Brown toy horsey	?
2522	White toy horsey	?
2524	Black toy horsey	?
2526	Grey toy horsey	?
2577	Ranger boots	boots
2579	Wizard boots	boots
2581	Robin hood hat	head
2583	Black platebody (t)	torso
2585	Black platelegs (t)	legs
2587	Black full helm (t)	head
2589	Black kiteshield (t)	shield
2591	Black platebody (g)	torso
2593	Black platelegs (g)	legs
2595	Black full helm (g)	head
2597	Black kiteshield (g)	shield
2599	Adamant platebody (t)	torso
2601	Adamant platelegs (t)	legs
2603	Adamant kiteshield (t)	shield
2605	Adamant full helm (t)	head
2607	Adamant platebody (g)	torso
2609	Adamant platelegs (g)	legs
2611	Adamant kiteshield (g)	shield
2613	Adamant full helm (g)	head
2615	Rune platebody (g)	torso
2617	Rune platelegs (g)	legs
2619	Rune full helm (g)	head
2621	Rune kiteshield (g)	shield
2623	Rune platebody (t)	torso
2625	Rune platelegs (t)	legs
2627	Rune full helm (t)	head
2629	Rune kiteshield (t)	shield
2631	Highwayman mask	head
2633	Blue beret	head
2635	Black beret	head
2637	White beret	head
2639	Tan cavalier	head
2641	Dark cavalier	head
2643	Black cavalier	head
2645	Red headband	head
2647	Black headband	head
2649	Brown headband	head
2651	Pirate's hat	head
2653	Zamorak platebody	torso
2655	Zamorak platelegs	legs
2657	Zamorak full helm	head
2659	Zamorak kiteshield	shield
2661	Saradomin platebody	torso
2663	Saradomin platelegs	legs
2665	Saradomin full helm	head
2667	Saradomin kiteshield	shield
2669	Guthix platebody	torso
2671	Guthix platelegs	legs
2673	Guthix full helm	head
2675	Guthix kiteshield	shield
2883	Ogre bow	weapon
2888	A stone bowl	weapon
2889	A stone bowl	weapon
2890	Elemental shield	shield
2894	Grey boots	boots
2896	Grey robe top	torso
2898	Grey robe bottoms	legs
2900	Grey hat	head
2902	Grey gloves	hands
2904	Red boots	boots
2906	Red robe top	torso
2908	Red robe bottoms	legs
2910	Red hat	head
2912	Red gloves	hands
2914	Yellow boots	boots
2916	Yellow robe top	torso
2918	Yellow robe bottoms	legs
2920	Yellow hat	head
2922	Yellow gloves	hands
2924	Teal boots	boots
2926	Teal robe top	torso
2928	Teal robe bottoms	legs
2930	Teal hat	head
2932	Teal gloves	hands
2934	Purple boots	boots
2936	Purple robe top	torso
2938	Purple robe bottoms	legs
2940	Purple hat	head
2942	Purple gloves	hands
2946	Golden tinderbox	?
2949	Golden hammer	?
2952	Wolfbane	weapon
2961	Silver sickle	weapon
2963	Silver sickle (b)	weapon
2968	Druidic spell	?
2969	A used spell	?
2978	Chompy bird hat	head
2979	Chompy bird hat	head
2980	Chompy bird hat	head
2981	Chompy bird hat	head
2982	Chompy bird hat	head
2983	Chompy bird hat	head
2984	Chompy bird hat	head
2985	Chompy bird hat	head
2986	Chompy bird hat	head
2987	Chompy bird hat	head
2988	Chompy bird hat	head
2989	Chompy bird hat	head
2990	Chompy bird hat	head
2991	Chompy bird hat	head
2992	Chompy bird hat	head
2993	Chompy bird hat	head
2994	Chompy bird hat	head
2995	Chompy bird hat	head
2997	Pirate's hook	hands
3053	Lava battlestaff	weapon
3054	Mystic lava staff	weapon
3057	Mime mask	head
3058	Mime top	torso
3059	Mime legs	legs
3060	Mime gloves	hands
3061	Mime boots	boots
3080	null	weapon
3093	Black dart	weapon
3094	Black dart(p)	weapon
3095	Bronze claws	weapon
3096	Iron claws	weapon
3097	Steel claws	weapon
3098	Black claws	weapon
3099	Mithril claws	weapon
3100	Adamant claws	weapon
3101	Rune claws	weapon
3105	Climbing boots	boots
3107	Spiked boots	boots
3122	Granite shield	shield
3140	Dragon chainbody	torso
3157	Karambwan vessel	weapon
3159	Karambwan vessel	?
3164	Karamjan rum	?
3170	Bronze spear(kp)	weapon
3171	Iron spear(kp)	weapon
3172	Steel spear(kp)	weapon
3173	Mithril spear(kp)	weapon
3174	Adamant spear(kp)	weapon
3175	Rune spear(kp)	weapon
3176	Dragon spear(kp)	weapon
3177	Left-handed banana	shield
3190	Bronze halberd	weapon
3192	Iron halberd	weapon
3194	Steel halberd	weapon
3196	Black halberd	weapon
3198	Mithril halberd	weapon
3200	Adamant halberd	weapon
3202	Rune halberd	weapon
3204	Dragon halberd	weapon
3208	Crystal pendant	amulet
3327	Myre snelm	head
3329	Blood'n'tar snelm	head
3331	Ochre snelm	head
3333	Bruise blue snelm	head
3335	Broken bark snelm	head
3337	Pointed myre snelm	head
3339	Pointed blood'n'tar snelm	head
3341	Pointed ochre snelm	head
3343	Pointed bruise blue snelm	head
3385	Splitbark helm	head
3387	Splitbark body	torso
3389	Splitbark legs	legs
3391	Splitbark gauntlets	hands
3393	Splitbark boots	boots
3472	Black plateskirt (t)	legs
3473	Black plateskirt (g)	legs
3474	Adamant plateskirt (t)	legs
3475	Adamant plateskirt (g)	legs
3476	Rune plateskirt (g)	legs
3477	Rune plateskirt (t)	legs
3478	Zamorak plateskirt	legs
3479	Saradomin plateskirt	legs
3480	Guthix plateskirt	legs
3481	Gilded platebody	torso
3483	Gilded platelegs	legs
3485	Gilded plateskirt	legs
3486	Gilded full helm	head
3488	Gilded kiteshield	shield
3688	Unstrung lyre	weapon
3689	Lyre	weapon
3690	Enchanted lyre	weapon
3691	Enchanted lyre(1)	weapon
3695	Pet rock	weapon
3711	Keg of beer	?
3748	Fremennik helm	head
3749	Archer helm	head
3751	Berserker helm	head
3753	Warrior helm	head
3755	Farseer helm	head
3757	Fremennik blade	weapon
3758	Fremennik shield	shield
3759	Fremennik cyan cloak	cape
3761	Fremennik brown cloak	cape
3763	Fremennik blue cloak	cape
3765	Fremennik green cloak	cape
3767	Fremennik brown shirt	torso
3769	Fremennik grey shirt	torso
3771	Fremennik beige shirt	torso
3773	Fremennik red shirt	torso
3775	Fremennik blue shirt	torso
3777	Fremennik red cloak	cape
3779	Fremennik grey cloak	cape
3781	Fremennik yellow cloak	cape
3783	Fremennik teal cloak	cape
3785	Fremennik purple cloak	cape
3787	Fremennik pink cloak	cape
3789	Fremennik black cloak	cape
3791	Fremennik boots	boots
3793	Fremennik robe	torso
3795	Fremennik skirt	legs
3797	Fremennik hat	head
3799	Fremennik gloves	hands
3801	Keg of beer	?
3803	Beer tankard	?
3839	Damaged book	shield
3840	Holy book	shield
3841	Damaged book	shield
3842	Unholy book	shield
3843	Damaged book	shield
3844	Book of balance	shield
3850	null	weapon
3853	Games necklace(8)	amulet
3855	Games necklace(7)	amulet
3857	Games necklace(6)	amulet
3859	Games necklace(5)	amulet
3861	Games necklace(4)	amulet
3863	Games necklace(3)	amulet
3865	Games necklace(2)	amulet
3867	Games necklace(1)	amulet
3893	Stool	weapon
3899	Iron sickle	weapon
3935	null	weapon
3937	null	weapon
3939	null	weapon
3941	null	weapon
3943	null	weapon
3945	null	weapon
3947	null	weapon
3949	null	weapon
3953	null	?
3969	null	weapon
3971	null	weapon
4021	M'speak amulet	amulet
4023	Monkey talisman	weapon
4032	null	weapon
4035	10th squad sigil	amulet
4037	Saradomin banner	weapon
4039	Zamorak banner	weapon
4041	Saradomin cloak	cape
4042	Zamorak cloak	cape
4068	Decorative sword	weapon
4069	Decorative armour	torso
4070	Decorative armour	legs
4071	Decorative helm	head
4072	Decorative shield	shield
4073	Damp tinderbox	?
4080	null	weapon
4081	Salve amulet	amulet
4083	Sled	weapon
4084	Sled	weapon
4085	Wax	shield
4086	Trollweiss	weapon
4087	Dragon platelegs	legs
4089	Mystic hat	head
4091	Mystic robe top	torso
4093	Mystic robe bottom	legs
4095	Mystic gloves	hands
4097	Mystic boots	boots
4099	Mystic hat (dark)	head
4101	Mystic robe top (dark)	torso
4103	Mystic robe bottom (dark)	legs
4105	Mystic gloves (dark)	hands
4107	Mystic boots (dark)	boots
4109	Mystic hat (light)	head
4111	Mystic robe top (light)	torso
4113	Mystic robe bottom (light)	legs
4115	Mystic gloves (light)	hands
4117	Mystic boots (light)	boots
4119	Bronze boots	boots
4121	Iron boots	boots
4123	Steel boots	boots
4125	Black boots	boots
4127	Mithril boots	boots
4129	Adamant boots	boots
4131	Rune boots	boots
4151	Abyssal whip	weapon
4153	Granite maul	weapon
4155	Enchanted gem	?
4156	Mirror shield	shield
4158	Leaf-bladed spear	weapon
4159	Leaf-bladed spear	weapon
4161	Bag of salt	?
4162	Rock hammer	weapon
4164	Facemask	head
4166	Earmuffs	head
4168	Nose peg	head
4170	Slayer's staff	weapon
4181	Mouth grip	weapon
4193	Extended brush	weapon
4212	New crystal bow	weapon
4213	New crystal bow	weapon
4214	Crystal bow full	weapon
4215	Crystal bow 9/10	weapon
4216	Crystal bow 8/10	weapon
4217	Crystal bow 7/10	weapon
4218	Crystal bow 6/10	weapon
4219	Crystal bow 5/10	weapon
4220	Crystal bow 4/10	weapon
4221	Crystal bow 3/10	weapon
4222	Crystal bow 2/10	weapon
4223	Crystal bow 1/10	weapon
4224	New crystal shield	shield
4225	Crystal shield full	shield
4226	Crystal shield 9/10	shield
4227	Crystal shield 8/10	shield
4228	Crystal shield 7/10	shield
4229	Crystal shield 6/10	shield
4230	Crystal shield 5/10	shield
4231	Crystal shield 4/10	shield
4232	Crystal shield 3/10	shield
4233	Crystal shield 2/10	shield
4234	Crystal shield 1/10	shield
4235	New crystal shield	shield
4236	Signed oak bow	weapon
4250	Ghostspeak amulet	amulet
4251	Ectophial	?
4298	Ham shirt	torso
4300	Ham robe	legs
4302	Ham hood	head
4304	Ham cloak	cape
4306	Ham logo	amulet
4308	Ham gloves	hands
4310	Ham boots	boots
4315	Team-1 cape	cape
4317	Team-2 cape	cape
4319	Team-3 cape	cape
4321	Team-4 cape	cape
4323	Team-5 cape	cape
4325	Team-6 cape	cape
4327	Team-7 cape	cape
4329	Team-8 cape	cape
4331	Team-9 cape	cape
4333	Team-10 cape	cape
4335	Team-11 cape	cape
4337	Team-12 cape	cape
4339	Team-13 cape	cape
4341	Team-14 cape	cape
4343	Team-15 cape	cape
4345	Team-16 cape	cape
4347	Team-17 cape	cape
4349	Team-18 cape	cape
4351	Team-19 cape	cape
4353	Team-20 cape	cape
4355	Team-21 cape	cape
4357	Team-22 cape	cape
4359	Team-23 cape	cape
4361	Team-24 cape	cape
4363	Team-25 cape	cape
4365	Team-26 cape	cape
4367	Team-27 cape	cape
4369	Team-28 cape	cape
4371	Team-29 cape	cape
4373	Team-30 cape	cape
4375	Team-31 cape	cape
4377	Team-32 cape	cape
4379	Team-33 cape	cape
4381	Team-34 cape	cape
4383	Team-35 cape	cape
4385	Team-36 cape	cape
4387	Team-37 cape	cape
4389	Team-38 cape	cape
4391	Team-39 cape	cape
4393	Team-40 cape	cape
4395	Team-41 cape	cape
4397	Team-42 cape	cape
4399	Team-43 cape	cape
4401	Team-44 cape	cape
4403	Team-45 cape	cape
4405	Team-46 cape	cape
4407	Team-47 cape	cape
4409	Team-48 cape	cape
4411	Team-49 cape	cape
4413	Team-50 cape	cape
4435	Weather report	?
4498	Rope	weapon
4500	Pole	weapon
4501	Null	weapon
4502	Bearhead	head
4503	Decorative sword	weapon
4504	Decorative armour	torso
4505	Decorative armour	legs
4506	Decorative helm	head
4507	Decorative shield	shield
4508	Decorative sword	weapon
4509	Decorative armour	torso
4510	Decorative armour	legs
4511	Decorative helm	head
4512	Decorative shield	shield
4513	Castlewars hood	head
4514	Castlewars cloak	cape
4515	Castlewars hood	head
4516	Castlewars cloak	cape
4551	Spiny helmet	head
4565	Easter basket	weapon
4566	Rubber chicken	weapon
4567	Gold helmet	head
4580	Black spear	weapon
4582	Black spear(p)	weapon
4584	Black spear(kp)	weapon
4585	Dragon plateskirt	legs
4587	Dragon scimitar	weapon
4599	Oak blackjack	weapon
4600	Willow blackjack	weapon
4605	Snake charm	weapon
4611	Desert disguise	head
4613	Spinning plate	?
4614	Broken plate	?
4675	Ancient staff	weapon
4677	Catspeak amulet	amulet
4692	Gold leaf	?
4704	Stone bowl	weapon
4705	null	weapon
4708	Ahrim's hood	head
4710	Ahrim's staff	weapon
4712	Ahrim's robetop	torso
4714	Ahrim's robeskirt	legs
4716	Dharok's helm	head
4718	Dharok's greataxe	weapon
4720	Dharok's platebody	torso
4722	Dharok's platelegs	legs
4724	Guthan's helm	head
4726	Guthan's warspear	weapon
4728	Guthan's platebody	torso
4730	Guthan's chainskirt	legs
4732	Karil's coif	head
4734	Karil's crossbow	weapon
4736	Karil's leathertop	torso
4738	Karil's leatherskirt	legs
4745	Torag's helm	head
4747	Torag's hammers	weapon
4749	Torag's platebody	torso
4751	Torag's platelegs	legs
4753	Verac's helm	head
4755	Verac's flail	weapon
4757	Verac's brassard	torso
4759	Verac's plateskirt	legs
4809	Torn page	?
4814	Sithik portrait	?
4815	Sithik portrait	?
4816	Signed portrait	?
4817	Book of portraiture	shield
4827	Comp ogre bow	weapon
4829	Book of 'h.a.m'	shield
4837	Necromancy book	shield
4856	Ahrim's hood 100	head
4857	Ahrim's hood 75	head
4858	Ahrim's hood 50	head
4859	Ahrim's hood 25	head
4860	Ahrim's hood 0	head
4862	Ahrim's staff 100	weapon
4863	Ahrim's staff 75	weapon
4864	Ahrim's staff 50	weapon
4865	Ahrim's staff 25	weapon
4866	Ahrim's staff 0	weapon
4868	Ahrim's robetop 100	torso
4869	Ahrim's robetop 75	torso
4870	Ahrim's robetop 50	torso
4871	Ahrim's robetop 25	torso
4872	Ahrim's robetop 0	torso
4874	Ahrim's robeskirt 100	legs
4875	Ahrim's robeskirt 75	legs
4876	Ahrim's robeskirt 50	legs
4877	Ahrim's robeskirt 25	legs
4878	Ahrim's robeskirt 0	legs
4880	Dharok's helm 100	head
4881	Dharok's helm 75	head
4882	Dharok's helm 50	head
4883	Dharok's helm 25	head
4884	Dharok's helm 0	head
4886	Dharok's greataxe 100	weapon
4887	Dharok's greataxe 75	weapon
4888	Dharok's greataxe 50	weapon
4889	Dharok's greataxe 25	weapon
4890	Dharok's greataxe 0	weapon
4892	Dharok's platebody 100	torso
4893	Dharok's platebody 75	torso
4894	Dharok's platebody 50	torso
4895	Dharok's platebody 25	torso
4896	Dharok's platebody 0	torso
4898	Dharok's platelegs 100	legs
4899	Dharok's platelegs 75	legs
4900	Dharok's platelegs 50	legs
4901	Dharok's platelegs 25	legs
4902	Dharok's platelegs 0	legs
4904	Guthan's helm 100	head
4905	Guthan's helm 75	head
4906	Guthan's helm 50	head
4907	Guthan's helm 25	head
4908	Guthan's helm 0	head
4910	Guthan's warspear 100	weapon
4911	Guthan's warspear 75	weapon
4912	Guthan's warspear 50	weapon
4913	Guthan's warspear 25	weapon
4914	Guthan's warspear 0	weapon
4916	Guthan's platebody 100	torso
4917	Guthan's platebody 75	torso
4918	Guthan's platebody 50	torso
4919	Guthan's platebody 25	torso
4920	Guthan's platebody 0	torso
4922	Guthan's chainskirt 100	legs
4923	Guthan's chainskirt 75	legs
4924	Guthan's chainskirt 50	legs
4925	Guthan's chainskirt 25	legs
4926	Guthan's chainskirt 0	legs
4928	Karil's coif 100	head
4929	Karil's coif 75	head
4930	Karil's coif 50	head
4931	Karil's coif 25	head
4932	Karil's coif 0	head
4934	Karil's crossbow 100	weapon
4935	Karil's crossbow 75	weapon
4936	Karil's crossbow 50	weapon
4937	Karil's crossbow 25	weapon
4938	Karil's crossbow 0	weapon
4940	Karil's leathertop 100	torso
4941	Karil's leathertop 75	torso
4942	Karil's leathertop 50	torso
