# id	name  (net.runelite.api.AnimationID, runelite-api-1.12.35.jar)
2116	WOODCUTTING_ENT_INFERNAL
2117	WOODCUTTING_INFERNAL
2270	CRAFTING_LOOM
2280	FARMING_HARVEST_FRUIT_TREE
2281	FARMING_HARVEST_BUSH
2282	FARMING_HARVEST_HERB
2283	FARMING_USE_COMPOST
2288	FARMING_CURE_WITH_POTION
2291	FARMING_PLANT_SEED
2292	FARMING_HARVEST_FLOWER
2305	MILKING_COW
2390	BLISTERWOOD_JUMP_SCARE
2553	WIZARD_DEATH
2652	TZTOK_JAD_RANGE_ATTACK
2656	TZTOK_JAD_MAGIC_ATTACK
2778	LIZARD_DEATH
2793	CHURN_MILK_SHORT
2794	CHURN_MILK_MEDIUM
2795	CHURN_MILK_LONG
2846	WOODCUTTING_DRAGON
3101	RAID_LIGHT_ANIMATION
3285	WOODCUTTING_ENT_RUNE
3286	WOODCUTTING_ENT_ADAMANT
3287	WOODCUTTING_ENT_MITHRIL
3288	WOODCUTTING_ENT_BLACK
3289	WOODCUTTING_ENT_STEEL
3290	WOODCUTTING_ENT_IRON
3291	WOODCUTTING_ENT_BRONZE
3292	WOODCUTTING_ENT_DRAGON
3327	ZYGOMITE_DEATH
3558	SLAYER_TOWER_WATER_BUCKET_DRIP
3676	CONSTRUCTION
3687	INCENSE_BURNER
3705	USING_GILDED_ALTAR
3866	MINING_MOTHERLODE_BLACK
3873	MINING_BLACK_PICKAXE
3993	CAVE_KRAKEN_DEATH
4067	HOME_MAKE_TABLET
4068	MAGIC_MAKE_TABLET
4411	ENERGY_TRANSFER_VENGEANCE_OTHER
4412	MAGIC_LUNAR_STRING_JEWELRY
4413	MAGIC_LUNAR_SHARED
4432	MAGIC_LUNAR_CURE_PLANT
4436	FLETCHING_ATTACH_STOCK_TO_BRONZE_LIMBS
4437	FLETCHING_ATTACH_STOCK_TO_BLURITE_LIMBS
4438	FLETCHING_ATTACH_STOCK_TO_IRON_LIMBS
4439	FLETCHING_ATTACH_STOCK_TO_STEEL_LIMBS
4440	FLETCHING_ATTACH_STOCK_TO_MITHRIL_LIMBS
4441	FLETCHING_ATTACH_STOCK_TO_ADAMANTITE_LIMBS
4442	FLETCHING_ATTACH_STOCK_TO_RUNITE_LIMBS
4462	MAGIC_ENCHANTING_BOLTS
4471	ECTOFUNTUS_FILL_SLIME_BUCKET
4481	MINING_MOTHERLODE_INFERNAL
4482	MINING_INFERNAL_PICKAXE
4483	MINING_CRASHEDSTAR_INFERNAL
4519	KEY_MASTER_IDLE
4652	CYCLOPS_ATTACK
4847	BOOK_HOME_TELEPORT_1
4850	BOOK_HOME_TELEPORT_2
4853	BOOK_HOME_TELEPORT_3
4855	BOOK_HOME_TELEPORT_4
4857	BOOK_HOME_TELEPORT_5
5108	FISHING_BARBTAIL_HARPOON
5207	HUNTER_CHECK_BIRD_SNARE
5208	HUNTER_LAY_BOXTRAP_BIRDSNARE
5215	HUNTER_LAY_NETTRAP
5249	HERBLORE_MAKE_TAR
5530	TREE_SPIRIT_IDLE
5531	TREE_SPIRIT_WALK
5583	SIGN_HOLDING_ZOMBIE_PROTESTOR_WALK
5857	HARMONY_ISLAND_WINDMILL_SPINNING
6108	MINING_CRASHEDSTAR_BLACK
6217	CLEANING_SPECIMENS_1
6295	GEM_CUTTING_AMETHYST
6298	MAGIC_LUNAR_PLANK_MAKE
6459	CLEANING_SPECIMENS_2
6495	GWENITH_WINDMILL_SPINNING
6566	HELLHOUND_DEFENCE
6678	FLETCHING_STRING_NORMAL_SHORTBOW
6679	FLETCHING_STRING_OAK_SHORTBOW
6680	FLETCHING_STRING_WILLOW_SHORTBOW
6681	FLETCHING_STRING_MAPLE_SHORTBOW
6682	FLETCHING_STRING_YEW_SHORTBOW
6683	FLETCHING_STRING_MAGIC_SHORTBOW
6684	FLETCHING_STRING_NORMAL_LONGBOW
6685	FLETCHING_STRING_OAK_LONGBOW
6686	FLETCHING_STRING_WILLOW_LONGBOW
6687	FLETCHING_STRING_MAPLE_LONGBOW
6688	FLETCHING_STRING_YEW_LONGBOW
6689	FLETCHING_STRING_MAGIC_LONGBOW
6696	DRAGONFIRE_SHIELD_SPECIAL
6703	FISHING_BAREHAND_WINDUP_1
6704	FISHING_BAREHAND_WINDUP_2
6705	FISHING_BAREHAND_CAUGHT_SHARK_1
6706	FISHING_BAREHAND_CAUGHT_SHARK_2
6707	FISHING_BAREHAND_CAUGHT_SWORDFISH_1
6708	FISHING_BAREHAND_CAUGHT_SWORDFISH_2
6709	FISHING_BAREHAND
6710	FISHING_BAREHAND_CAUGHT_TUNA_1
6711	FISHING_BAREHAND_CAUGHT_TUNA_2
6746	MINING_CRASHEDSTAR_RUNE
6747	MINING_CRASHEDSTAR_BRONZE
6748	MINING_CRASHEDSTAR_IRON
6749	MINING_CRASHEDSTAR_STEEL
6750	MINING_CRASHEDSTAR_ADAMANT
6751	MINING_CRASHEDSTAR_MITHRIL
6752	MINING_MOTHERLODE_RUNE
6753	MINING_MOTHERLODE_BRONZE
6754	MINING_MOTHERLODE_IRON
6755	MINING_MOTHERLODE_STEEL
6756	MINING_MOTHERLODE_ADAMANT
6757	MINING_MOTHERLODE_MITHRIL
6758	MINING_MOTHERLODE_DRAGON
6818	DUCK_BOBBING
6932	FISHING_PEARL_OILY_ROD
7118	MAGIC_ARCEUUS_RESURRECT_CROPS
7139	MINING_DRAGON_PICKAXE
7140	MINING_CRASHEDSTAR_DRAGON
7151	FISHING_CUTTING_SACRED_EELS
7199	PISCARILIUS_CRANE_REPAIR
7201	DENSE_ESSENCE_CHIPPING
7202	DENSE_ESSENCE_CHISELING
7224	DEMONIC_GORILLA_DEFEND
7225	DEMONIC_GORILLA_MAGIC_ATTACK
7226	DEMONIC_GORILLA_MELEE_ATTACK
7227	DEMONIC_GORILLA_RANGED_ATTACK
7259	HUNTER_LAY_MANIACAL_MONKEY_BOULDER_TRAP
7264	WOODCUTTING_3A_AXE
7266	WOODCUTTING_ENT_3A
7282	MINING_MOTHERLODE_3A
7283	MINING_3A_PICKAXE
7284	MINING_CRASHEDSTAR_3A
7401	FISHING_DRAGON_HARPOON
7402	FISHING_INFERNAL_HARPOON
7529	COOKING_WINE
7531	CRAFTING_BATTLESTAVES
7553	FISHING_CRUSHING_INFERNAL_EELS
7699	FARMING_MIX_ULTRACOMPOST
7813	MARBLE_GARGOYLE_DEATH
7860	FLETCHING_ATTACH_STOCK_TO_DRAGON_LIMBS
7898	LITHKREN_GENERATOR_SPINNING
7992	VERZIK_P2_BLUE_NYLO_EXPLOSION
8000	VERZIK_P2_GREEN_NYLO_EXPLOSION
8006	VERZIK_P2_WHITE_NYLO_EXPLOSION
8078	VERZIK_P2_PURPLE_NYLO_EXPLOSION
8097	VERZIK_P2_RED_NYLO_EXPLOSION
8188	FISHING_PEARL_ROD
8189	FISHING_PEARL_FLY_ROD
8190	FISHING_PEARL_BARBARIAN_ROD
8191	FISHING_PEARL_ROD_2
8192	FISHING_PEARL_FLY_ROD_2
8193	FISHING_PEARL_BARBARIAN_ROD_2
8266	WYRM_IDLE_DORMANT
8267	WYRM_IDLE_ACTIVE
8270	WYRM_ATTACK_MELEE
8271	WYRM_ATTACK_MAGE
8303	WOODCUTTING_GILDED
8305	WOODCUTTING_ENT_GILDED
8312	MINING_MOTHERLODE_GILDED
8313	MINING_GILDED_PICKAXE
8314	MINING_CRASHEDSTAR_GILDED
8323	WOODCUTTING_ENT_CRYSTAL
8324	WOODCUTTING_CRYSTAL
8327	WOODCUTTING_ENT_CRYSTAL_INACTIVE
8336	FISHING_CRYSTAL_HARPOON
8344	MINING_MOTHERLODE_DRAGON_OR
8345	MINING_MOTHERLODE_CRYSTAL
8346	MINING_DRAGON_PICKAXE_OR
8347	MINING_CRYSTAL_PICKAXE
8349	MINING_CRASHEDSTAR_DRAGON_OR
8350	MINING_CRASHEDSTAR_CRYSTAL
8472	FLETCHING_ATTACH_BOLT_TIPS_TO_BRONZE_BOLT
8473	FLETCHING_ATTACH_BOLT_TIPS_TO_IRON_BROAD_BOLT
8474	FLETCHING_ATTACH_BOLT_TIPS_TO_BLURITE_BOLT
8475	FLETCHING_ATTACH_BOLT_TIPS_TO_STEEL_BOLT
8476	FLETCHING_ATTACH_BOLT_TIPS_TO_MITHRIL_BOLT
8477	FLETCHING_ATTACH_BOLT_TIPS_TO_ADAMANT_BOLT
8478	FLETCHING_ATTACH_BOLT_TIPS_TO_RUNE_BOLT
8479	FLETCHING_ATTACH_BOLT_TIPS_TO_DRAGON_BOLT
8480	FLETCHING_ATTACH_HEADS
8481	FLETCHING_ATTACH_FEATHERS_TO_ARROWSHAFT
8777	WOODCUTTING_ENT_INFERNAL_OR
8778	WOODCUTTING_TRAILBLAZER
8780	WOODCUTTING_ENT_TRAILBLAZER
8784	FISHING_TRAILBLAZER_HARPOON
8786	MINING_MOTHERLODE_TRAILBLAZER
8787	MINING_TRAILBLAZER_PICKAXE
8788	MINING_TRAILBLAZER_PICKAXE_2
8789	MINING_TRAILBLAZER_PICKAXE_3
8798	LEAGUE_HOME_TELEPORT_1
8799	LEAGUE_HOME_TELEPORT_2
8801	LEAGUE_HOME_TELEPORT_3
8803	LEAGUE_HOME_TELEPORT_4
8805	LEAGUE_HOME_TELEPORT_5
8807	LEAGUE_HOME_TELEPORT_6
8886	MINING_MOTHERLODE_DRAGON_OR_TRAILBLAZER
8887	MINING_DRAGON_PICKAXE_OR_TRAILBLAZER
8888	MINING_CRASHEDSTAR_DRAGON_OR_TRAILBLAZER
8911	SMITHING_IMCANDO_HAMMER
8912	CONSTRUCTION_IMCANDO
8969	FISHING_CRUSHING_INFERNAL_EELS_IMCANDO_HAMMER
8977	MAGIC_ARCEUUS_DEMONBANE
9209	SHATTERED_LEAGUE_HOME_TELEPORT_1
9210	SHATTERED_LEAGUE_HOME_TELEPORT_2
9211	SHATTERED_LEAGUE_HOME_TELEPORT_3
9212	SHATTERED_LEAGUE_HOME_TELEPORT_4
9213	SHATTERED_LEAGUE_HOME_TELEPORT_5
9214	SHATTERED_LEAGUE_HOME_TELEPORT_6
9260	LOOTBEAM_ANIMATION
9350	FISHING_BARBARIAN_ROD
9450	GIANTS_FOUNDRY_WATER_WHEEL_SPINNING
10064	WOODCUTTING_2H_BRONZE
10065	WOODCUTTING_2H_IRON
10066	WOODCUTTING_2H_STEEL
10067	WOODCUTTING_2H_BLACK
10068	WOODCUTTING_2H_MITHRIL
10069	WOODCUTTING_2H_ADAMANT
10070	WOODCUTTING_2H_RUNE
10071	WOODCUTTING_2H_DRAGON
10072	WOODCUTTING_2H_CRYSTAL
10073	WOODCUTTING_2H_CRYSTAL_INACTIVE
10074	WOODCUTTING_2H_3A
10517	WOODCUTTING_ENT_2H_BRONZE
10518	WOODCUTTING_ENT_2H_IRON
10519	WOODCUTTING_ENT_2H_STEEL
10520	WOODCUTTING_ENT_2H_BLACK
10521	WOODCUTTING_ENT_2H_MITHRIL
10522	WOODCUTTING_ENT_2H_ADAMANT
10523	WOODCUTTING_ENT_2H_RUNE
10524	WOODCUTTING_ENT_2H_DRAGON
10525	WOODCUTTING_ENT_2H_CRYSTAL
10526	WOODCUTTING_ENT_2H_CRYSTAL_INACTIVE
10527	WOODCUTTING_ENT_2H_3A
10563	FIREMAKING_FORESTERS_CAMPFIRE_ARCTIC_PINE
10564	FIREMAKING_FORESTERS_CAMPFIRE_BLISTERWOOD
10565	FIREMAKING_FORESTERS_CAMPFIRE_LOGS
10566	FIREMAKING_FORESTERS_CAMPFIRE_MAGIC
10567	FIREMAKING_FORESTERS_CAMPFIRE_MAHOGANY
10568	FIREMAKING_FORESTERS_CAMPFIRE_MAPLE
10569	FIREMAKING_FORESTERS_CAMPFIRE_OAK
10570	FIREMAKING_FORESTERS_CAMPFIRE_REDWOOD
10571	FIREMAKING_FORESTERS_CAMPFIRE_TEAK
10572	FIREMAKING_FORESTERS_CAMPFIRE_WILLOW
10573	FIREMAKING_FORESTERS_CAMPFIRE_YEW
11075	THIEVING_VARLAMORE_STEALING_VALUABLES
11095	MAKING_SUNFIRE_WINE
11099	CRAFTING_CRUSH_BLESSED_BONES
11102	SACRIFICE_BLESSED_BONE_SHARDS
11604	HERBLORE_MIXOLOGY_REFINER
11634	HERBLORE_MIXOLOGY_HOMOGENIZE
11639	HERBLORE_MIXOLOGY_CRYSTALIZE
11644	HERBLORE_MIXOLOGY_CONCENTRATE
11679	HUEYCOATL_DEATH
24975	CRAFTING_POTTERY_OVEN
